motor_front,motor_back,pitch_filter,pitch_raw
223, 777, 9.238557, 9.411602
222, 778, 9.296865, 9.404010
220, 780, 9.360309, 9.472616
218, 782, 9.426319, 9.196754
216, 784, 9.492020, 9.339316
214, 786, 9.547147, 9.222146
212, 788, 9.604148, 9.470337
210, 790, 9.673348, 9.725859
208, 792, 9.754619, 10.216845
206, 794, 9.827874, 10.427715
204, 796, 9.890110, 10.585633
202, 798, 9.954270, 10.865797
200, 800, 10.024042, 10.834928
198, 802, 10.086073, 10.849701
196, 804, 10.136515, 10.760283
195, 805, 10.192173, 10.714412
193, 807, 10.250142, 10.560830
192, 808, 10.296167, 10.085661
190, 810, 10.338376, 9.894980
189, 811, 10.381114, 9.717764
188, 812, 10.431756, 9.852468
186, 814, 10.472973, 9.770724
185, 815, 10.520652, 10.145283
183, 817, 10.588401, 10.340893
181, 819, 10.645693, 10.576814
180, 820, 10.686077, 10.573316
178, 822, 10.752869, 11.026347
177, 823, 10.796885, 10.955980
175, 825, 10.834185, 11.465650
174, 826, 10.891350, 11.892759
173, 827, 10.913949, 11.715772
173, 827, 10.930266, 11.883597
172, 828, 10.952080, 11.741938
172, 828, 10.942726, 11.657571
172, 828, 10.942355, 11.541156
172, 828, 10.933867, 11.320949
173, 827, 10.909474, 11.057661
174, 826, 10.891446, 10.837417
175, 825, 10.860539, 10.503652
176, 824, 10.832835, 10.367030
176, 824, 10.804199, 10.362951
177, 823, 10.772427, 10.285058
178, 822, 10.743057, 10.416927
179, 821, 10.721867, 10.832063
179, 821, 10.701119, 11.107907
180, 820, 10.682926, 11.419917
180, 820, 10.668472, 11.637209
181, 819, 10.644135, 11.837609
182, 818, 10.630748, 12.040598
182, 818, 10.605637, 12.110307
184, 816, 10.565556, 11.886992
184, 816, 10.536541, 11.797715
186, 814, 10.477159, 11.410012
188, 812, 10.421367, 10.961135
189, 811, 10.372959, 11.017922
191, 809, 10.300510, 10.608885
193, 807, 10.251444, 10.577955
195, 805, 10.177671, 10.081688
197, 803, 10.106462, 9.645738
199, 801, 10.047648, 9.680197
201, 799, 9.973350, 9.481750
203, 797, 9.916803, 9.525202
205, 795, 9.864217, 9.411851
206, 794, 9.804247, 9.392442
208, 792, 9.755681, 9.584119
209, 791, 9.713172, 9.864093
210, 790, 9.672107, 10.090009
211, 789, 9.633709, 10.239165
213, 787, 9.599455, 10.236078
214, 786, 9.563447, 10.065388
215, 785, 9.519510, 9.963203
216, 784, 9.467773, 9.647181
218, 782, 9.427816, 9.728425
219, 781, 9.383944, 9.456762
221, 779, 9.323178, 9.457136
222, 778, 9.269021, 9.264127
224, 776, 9.230494, 9.504227
225, 775, 9.180405, 9.258278
227, 773, 9.115348, 9.332322
229, 771, 9.052210, 9.113970
230, 770, 9.003826, 9.316984
232, 768, 8.942057, 9.122351
235, 765, 8.863739, 9.016952
237, 763, 8.795370, 9.105258
239, 761, 8.727907, 8.745133
241, 759, 8.652676, 8.644588
243, 757, 8.570371, 8.365198
246, 754, 8.493465, 8.360240
248, 752, 8.428790, 8.359735
249, 751, 8.369876, 8.504717
251, 749, 8.308384, 8.627524
253, 747, 8.240984, 8.661933
255, 745, 8.179174, 8.801550
257, 743, 8.127787, 8.818657
258, 742, 8.075577, 8.716305
260, 740, 8.017469, 8.546073
262, 738, 7.954153, 8.325807
264, 736, 7.894933, 8.138612
265, 735, 7.837800, 7.862961
267, 733, 7.780170, 7.518197
269, 731, 7.718199, 7.480215
