motor_front,motor_back,pitch_filter,pitch_desired
498, 502, 0.270661, -0.000000
498, 502, 0.266656, -0.000000
498, 502, 0.261330, -0.000000
499, 501, 0.256543, -0.000000
499, 501, 0.252430, -0.000000
498, 502, 0.251092, -0.000000
499, 501, 0.248567, -0.000000
498, 502, 0.246559, -0.000000
498, 502, 0.244496, -0.000000
498, 502, 0.245330, -0.000000
498, 502, 0.248961, -0.000000
499, 501, 0.250802, -0.000000
499, 501, 0.252969, -0.000000
498, 502, 0.258462, -0.000000
498, 502, 0.262118, -0.000000
498, 502, 0.261244, -0.000000
498, 502, 0.260748, -0.000000
498, 502, 0.260175, -0.000000
497, 503, 0.260205, -0.000000
498, 502, 0.259033, -0.000000
497, 503, 0.261707, -0.000000
498, 502, 0.262360, -0.000000
498, 502, 0.266678, -0.000000
498, 502, 0.271156, -0.000000
498, 502, 0.277988, -0.000000
498, 502, 0.287418, -0.000000
498, 502, 0.294345, -0.000000
496, 504, 0.301781, -0.000000
496, 504, 0.307342, -0.000000
494, 506, 0.313058, -0.000000
495, 505, 0.315063, -0.000000
497, 503, 0.311192, -0.000000
497, 503, 0.311228, -0.000000
497, 503, 0.310197, -0.000000
497, 503, 0.308294, -0.000000
498, 502, 0.304043, -0.000000
497, 503, 0.302303, -0.000000
499, 501, 0.295654, -0.000000
499, 501, 0.288582, -0.000000
498, 502, 0.282340, -0.000000
499, 501, 0.275109, -0.000000
498, 502, 0.274620, -0.000000
498, 502, 0.275859, -0.000000
498, 502, 0.279862, -0.000000
498, 502, 0.287642, -0.000000
499, 501, 0.291080, -0.000000
498, 502, 0.295569, -0.000000
498, 502, 0.297285, -0.000000
499, 501, 0.294326, -0.000000
499, 501, 0.290551, -0.000000
498, 502, 0.289462, -0.000000
498, 502, 0.284968, -0.000000
498, 502, 0.277443, -0.000000
498, 502, 0.273810, -0.000000
498, 502, 0.272075, -0.000000
498, 502, 0.271037, -0.000000
498, 502, 0.271631, -0.000000
500, 500, 0.270601, -0.000000
499, 501, 0.273088, -0.000000
498, 502, 0.279730, -0.000000
499, 501, 0.280180, -0.000000
497, 503, 0.286397, -0.000000
497, 503, 0.290948, -0.000000
498, 502, 0.290583, -0.000000
498, 502, 0.291174, -0.000000
498, 502, 0.289204, -0.000000
498, 502, 0.286236, -0.000000
499, 501, 0.279158, -0.000000
498, 502, 0.275805, -0.000000
498, 502, 0.267939, -0.000000
498, 502, 0.268346, -0.000000
496, 504, 0.274758, -0.000000
498, 502, 0.278809, -0.000000
498, 502, 0.285202, -0.000000
498, 502, 0.290813, -0.000000
497, 503, 0.301561, -0.000000
498, 502, 0.308139, -0.000000
498, 502, 0.313748, -0.000000
498, 502, 0.319648, -0.000000
497, 503, 0.320856, -0.000000
497, 503, 0.321742, -0.000000
496, 504, 0.320560, -0.000000
497, 503, 0.314737, -0.000000
496, 504, 0.309195, -0.000000
495, 505, 0.307289, -0.000000
495, 505, 0.304656, -0.000000
496, 504, 0.303186, -0.000000
495, 505, 0.305285, -0.000000
496, 504, 0.306095, -0.000000
494, 506, 0.312104, -0.000000
495, 505, 0.318163, -0.000000
497, 503, 0.320704, -0.000000
497, 503, 0.327735, -0.000000
497, 503, 0.337649, -0.000000
497, 503, 0.347633, -0.000000
497, 503, 0.360015, -0.000000
499, 501, 0.362411, -0.000000
499, 501, 0.365343, -0.000000
498, 502, 0.367622, -0.000000
497, 503, 0.370360, -0.000000
503, 497, 0.354432, -0.000000
500, 500, 0.349814, -0.000000
503, 497, 0.338479, -0.000000
501, 499, 0.329352, -0.000000
499, 501, 0.315014, -0.000000
497, 503, 0.303219, -0.000000
505, 495, 0.273897, -0.000000
511, 489, 0.236403, -0.000000
509, 491, 0.212103, -0.000000
508, 492, 0.193429, -0.000000
506, 494, 0.171575, -0.000000
505, 495, 0.141495, -0.000000
508, 492, 0.095255, -0.000000
508, 492, 0.053408, -0.000000
507, 493, 0.031410, -0.000000
505, 495, 0.021100, -0.000000
504, 496, 0.012001, -0.000000
504, 496, 0.002173, -0.000000
504, 496, -0.006872, -0.000000
502, 498, -0.005891, -0.000000
503, 497, -0.006474, -0.000000
503, 497, -0.009617, -0.000000
501, 499, -0.007863, -0.000000
506, 494, -0.019868, -0.000000
503, 497, -0.020669, -0.000000
503, 497, -0.027955, -0.000000
504, 496, -0.041795, -0.000000
502, 498, -0.056923, -0.000000
504, 496, -0.077370, -0.000000
508, 492, -0.103702, -0.000000
509, 491, -0.123032, -0.000000
511, 489, -0.142905, -0.000000
520, 480, -0.179606, -0.000000
529, 471, -0.233841, -0.000000
534, 466, -0.296437, -0.000000
543, 457, -0.370596, -0.000000
544, 456, -0.437579, -0.000000
554, 446, -0.528494, -0.000000
558, 442, -0.633674, -0.000000
560, 440, -0.749900, -0.000000
555, 445, -0.878401, -0.000000
552, 448, -1.004922, -0.000000
544, 456, -1.118734, -0.000000
537, 463, -1.232247, -0.000000
528, 472, -1.327670, -0.000000
524, 476, -1.408839, -0.000000
517, 483, -1.466075, -0.000000
515, 485, -1.502631, -0.000000
515, 485, -1.514836, -0.000000
517, 483, -1.518464, -0.000000
518, 482, -1.508276, -0.000000
521, 479, -1.501051, -0.000000
523, 477, -1.500216, -0.000000
525, 475, -1.508726, -0.000000
524, 476, -1.521953, -0.000000
522, 478, -1.539934, -0.000000
518, 482, -1.561231, -0.000000
518, 482, -1.583715, -0.000000
514, 486, -1.594164, -0.000000
515, 485, -1.603158, -0.000000
513, 487, -1.604639, -0.000000
509, 491, -1.591772, -0.000000
507, 493, -1.570423, -0.000000
505, 495, -1.550045, -0.000000
503, 497, -1.521484, -0.000000
503, 497, -1.493704, -0.000000
504, 496, -1.463120, -0.000000
504, 496, -1.429909, -0.000000
506, 494, -1.399702, -0.000000
509, 491, -1.373760, -0.000000
511, 489, -1.351374, -0.000000
515, 485, -1.344685, -0.000000
517, 483, -1.345369, -0.000000
517, 483, -1.350805, -0.000000
519, 481, -1.371495, -0.000000
518, 482, -1.392078, -0.000000
518, 482, -1.414772, -0.000000
518, 482, -1.439424, -0.000000
518, 482, -1.462967, -0.000000
519, 481, -1.483039, -0.000000
522, 478, -1.505129, -0.000000
520, 480, -1.514770, -0.000000
521, 479, -1.525051, -0.000000
521, 479, -1.532494, -0.000000
521, 479, -1.542613, -0.000000
520, 480, -1.553051, -0.000000
523, 477, -1.569770, -0.000000
522, 478, -1.580724, -0.000000
522, 478, -1.590293, -0.000000
523, 477, -1.605758, -0.000000
521, 479, -1.616596, -0.000000
520, 480, -1.627552, -0.000000
518, 482, -1.641285, -0.000000
516, 484, -1.651616, -0.000000
518, 482, -1.667586, -0.000000
517, 483, -1.676305, -0.000000
516, 484, -1.680607, -0.000000
516, 484, -1.679165, -0.000000
517, 483, -1.685748, -0.000000
519, 481, -1.694234, -0.000000
517, 483, -1.693242, -0.000000
518, 482, -1.692903, -0.000000
516, 484, -1.689377, -0.000000
514, 486, -1.680875, -0.000000
512, 488, -1.669626, -0.000000
516, 484, -1.668839, -0.000000
516, 484, -1.668493, -0.000000
517, 483, -1.668674, -0.000000
517, 483, -1.667606, -0.000000
519, 481, -1.674028, -0.000000
522, 478, -1.689025, -0.000000
526, 474, -1.710928, -0.000000
527, 473, -1.733734, -0.000000
527, 473, -1.758244, -0.000000
527, 473, -1.784049, -0.000000
525, 475, -1.805764, -0.000000
525, 475, -1.827511, -0.000000
524, 476, -1.848918, -0.000000
523, 477, -1.864677, -0.000000
528, 472, -1.888809, -0.000000
531, 469, -1.906764, -0.000000
536, 464, -1.933819, -0.000000
545, 455, -1.980708, -0.000000
552, 448, -2.031026, -0.000000
562, 438, -2.103662, -0.000000
563, 437, -2.184937, -0.000000
567, 433, -2.284105, -0.000000
563, 437, -2.384405, -0.000000
561, 439, -2.503658, -0.000000
550, 450, -2.603328, -0.000000
539, 461, -2.696775, -0.000000
534, 466, -2.777110, -0.000000
528, 472, -2.836456, -0.000000
523, 477, -2.864866, -0.000000
518, 482, -2.868941, -0.000000
514, 486, -2.848314, -0.000000
512, 488, -2.805446, -0.000000
513, 487, -2.761429, -0.000000
520, 480, -2.717679, -0.000000
524, 476, -2.678238, -0.000000
531, 469, -2.649354, -0.000000
536, 464, -2.626609, -0.000000
539, 461, -2.616310, -0.000000
541, 459, -2.632384, -0.000000
541, 459, -2.659801, -0.000000
538, 462, -2.690490, -0.000000
539, 461, -2.737748, -0.000000
538, 462, -2.790182, -0.000000
539, 461, -2.842566, -0.000000
540, 460, -2.886667, -0.000000
542, 458, -2.930441, -0.000000
542, 458, -2.971939, -0.000000
