all i2c devices detected
calibration complete, -0.723899 0.469468 6.348301 -9.616370 7.730801 0.000000
 -11.63353,  -59.06770,  -12.98709
 -11.63353,  -59.12936,  -13.02045
 -11.63353,  -59.19159,  -13.05370
 -11.63353,  -59.25404,  -13.08649
 -11.99453,  -59.31651,  -13.12587
 -12.13385,  -59.37931,  -13.16758
 -12.13385,  -59.44236,  -13.20869
 -12.13385,  -59.50592,  -13.24948
 -12.13385,  -59.56973,  -13.28970
 -12.52440,  -59.63430,  -13.33768
 -12.52440,  -59.69902,  -13.38484
 -12.52440,  -59.76427,  -13.43158
 -12.52440,  -59.83016,  -13.47801
 -12.86559,  -59.89652,  -13.53079
 -12.86559,  -59.96425,  -13.58386
 -12.86559,  -60.03264,  -13.63652
 -12.86559,  -60.10184,  -13.68892
 -13.27705,  -60.17178,  -13.74922
 -13.27705,  -60.24288,  -13.80945
 -13.27705,  -60.31726,  -13.87170
 -13.27705,  -60.39214,  -13.93319
 -13.65703,  -60.46828,  -14.00228
 -13.65703,  -60.54589,  -14.07144
 -13.65703,  -60.62510,  -14.14078
 -13.65703,  -60.70906,  -14.21338
 -13.80198,  -60.79510,  -14.28947
 -13.80198,  -60.88254,  -14.36542
 -13.80198,  -60.97133,  -14.44117
 -13.80198,  -61.06361,  -14.51882
 -13.67208,  -61.15831,  -14.59469
 -13.67208,  -61.25439,  -14.67039
 -13.67208,  -61.35167,  -14.74577
 -13.67208,  -61.45048,  -14.82113
 -13.22742,  -61.55075,  -14.88752
 -13.22742,  -61.65376,  -14.95526
 -13.22742,  -61.75800,  -15.02286
 -13.22742,  -61.86312,  -15.08997
 -12.81768,  -61.96946,  -15.14874
 -12.81768,  -62.07860,  -15.20908
 -12.81768,  -62.18943,  -15.26986
 -12.81768,  -62.30162,  -15.33077
 -12.55177,  -62.41459,  -15.38590
 -12.55177,  -62.52889,  -15.44123
 -12.55177,  -62.64488,  -15.49712
 -12.55177,  -62.76145,  -15.55245
 -12.64051,  -62.87864,  -15.60905
 -12.43378,  -62.99625,  -15.66081
 -12.43378,  -63.11451,  -15.71216
 -12.43378,  -63.23265,  -15.76237
 -12.66752,  -63.35328,  -15.81869
 -12.44080,  -63.47124,  -15.86673
 -12.44080,  -63.58940,  -15.91401
 -12.44080,  -63.70771,  -15.96049
 -12.44080,  -63.82444,  -16.00449
 -12.57119,  -63.94005,  -16.04913
 -12.57119,  -64.05447,  -16.09170
 -12.57119,  -64.16788,  -16.13243
 -12.57119,  -64.27980,  -16.17089
 -12.90869,  -64.39011,  -16.21375
 -12.90869,  -64.49971,  -16.25506
 -12.90869,  -64.60873,  -16.29496
 -12.90869,  -64.71631,  -16.33267
 -13.49548,  -64.82265,  -16.38015
 -13.49548,  -64.92622,  -16.42394
 -13.49548,  -65.02941,  -16.46650
 -13.49548,  -65.13252,  -16.50813
 -14.34225,  -65.23463,  -16.56488
 -14.34225,  -65.33473,  -16.61852
 -14.34225,  -65.43436,  -16.67064
 -14.34225,  -65.53256,  -16.72030
 -15.35276,  -65.62965,  -16.78810
 -15.35276,  -65.72542,  -16.85325
 -15.35276,  -65.81933,  -16.91527
 -15.35276,  -65.91191,  -16.97476
 -16.23431,  -66.00294,  -17.04916
 -16.23431,  -66.09304,  -17.12115
 -16.23431,  -66.18240,  -17.19099
 -16.23431,  -66.27027,  -17.25797
 -16.96157,  -66.35741,  -17.33743
 -16.96157,  -66.44393,  -17.41472
 -16.96157,  -66.52961,  -17.48962
 -16.96157,  -66.61440,  -17.56215
 -17.39474,  -66.70451,  -17.64713
 -17.39474,  -66.78769,  -17.72359
 -17.39474,  -66.87036,  -17.79803
 -17.39474,  -66.95261,  -17.87057
 -17.56571,  -67.03413,  -17.94437
 -17.56571,  -67.11584,  -18.01687
 -17.56571,  -67.19777,  -18.08814
 -17.56571,  -67.27950,  -18.15779
 -17.58960,  -67.36082,  -18.22612
 -17.58960,  -67.44264,  -18.29358
 -17.58960,  -67.52345,  -18.35869
 -17.58960,  -67.60412,  -18.42236
 -17.27736,  -67.68525,  -18.47897
 -17.52628,  -67.76664,  -18.53968
 -17.52628,  -67.84885,  -18.59998
 -17.52628,  -67.93124,  -18.65925
 -17.34464,  -68.01377,  -18.71384
 -17.57165,  -68.09645,  -18.77202
 -17.57165,  -68.17926,  -18.82917
 -17.57165,  -68.26369,  -18.88676
 -17.57165,  -68.34960,  -18.94465
 -17.77062,  -68.43543,  -19.00529
 -17.77062,  -68.52164,  -19.06509
 -17.77062,  -68.60851,  -19.12432
 -17.77062,  -68.69563,  -19.18263
 -18.11937,  -68.78313,  -19.24710
 -18.11937,  -68.87122,  -19.31087
 -18.11937,  -68.95945,  -19.37352
 -18.11937,  -69.04774,  -19.43495
 -18.47935,  -69.13650,  -19.50283
 -18.47935,  -69.22507,  -19.56916
 -18.47935,  -69.31326,  -19.63379
 -18.47935,  -69.40086,  -19.69655
 -18.80686,  -69.48804,  -19.76419
 -18.80686,  -69.57483,  -19.83010
 -18.80686,  -69.66152,  -19.89459
 -18.80686,  -69.74915,  -19.95871
 -18.96868,  -69.83530,  -20.02334
 -18.96868,  -69.92044,  -20.08569
 -18.96868,  -70.00547,  -20.14668
 -18.96868,  -70.08973,  -20.20569
 -19.14971,  -70.17410,  -20.26726
 -19.14971,  -70.25806,  -20.32719
 -19.14971,  -70.34156,  -20.38547
 -19.14971,  -70.42499,  -20.44251
 -19.36495,  -70.50781,  -20.50213
 -19.36495,  -70.59022,  -20.56014
 -19.36495,  -70.67191,  -20.61631
 -19.36495,  -70.75351,  -20.67124
 -19.68411,  -70.83475,  -20.73112
 -19.68411,  -70.91586,  -20.78967
 -19.68411,  -70.99665,  -20.84673
 -19.68411,  -71.07736,  -20.90258
 -20.07800,  -71.15793,  -20.96504
 -20.07800,  -71.23820,  -21.02597
 -20.07800,  -71.31872,  -21.08592
 -20.07800,  -71.39913,  -21.14457
 -20.91003,  -71.47924,  -21.21839
 -20.48444,  -71.55864,  -21.28152
 -20.48444,  -71.63788,  -21.34323
 -20.48444,  -71.71671,  -21.40330
 -20.48444,  -71.79524,  -21.46189
 -20.85062,  -71.87350,  -21.52636
 -20.85062,  -71.95137,  -21.58916
 -20.85062,  -72.02866,  -21.65013
 -20.85062,  -72.10530,  -21.70925
 -21.15281,  -72.18262,  -21.77389
 -21.15281,  -72.25816,  -21.83550
 -21.15281,  -72.33279,  -21.89498
 -21.15281,  -72.40698,  -21.95284
 -21.46054,  -72.48053,  -22.01507
 -21.46054,  -72.55331,  -22.07531
 -21.46054,  -72.62531,  -22.13357
 -21.46054,  -72.69681,  -22.19018
 -21.82992,  -72.76768,  -22.25243
 -21.82992,  -72.83808,  -22.31297
 -21.82992,  -72.90756,  -22.37140
 -21.82992,  -72.97533,  -22.42698
 -22.20657,  -73.04270,  -22.48861
 -22.20657,  -73.10972,  -22.54864
 -22.20657,  -73.17569,  -22.60645
 -22.20657,  -73.24067,  -22.66214
 -22.60766,  -73.30411,  -22.72322
 -22.60766,  -73.36639,  -22.78194
 -22.60766,  -73.42732,  -22.83817
 -22.60766,  -73.48724,  -22.89227
 -22.94268,  -73.54627,  -22.95113
 -22.94268,  -73.60301,  -23.00657
 -22.94268,  -73.65852,  -23.05969
 -22.94268,  -73.71284,  -23.11057
 -23.28402,  -73.76617,  -23.16631
 -23.28402,  -73.81831,  -23.21976
 -23.28402,  -73.86948,  -23.27120
 -23.28402,  -73.92017,  -23.32113
 -23.81362,  -73.97007,  -23.37988
 -23.81362,  -74.01934,  -23.43684
 -23.81362,  -74.06913,  -23.49317
 -23.81362,  -74.11808,  -23.54754
 -23.96601,  -74.16727,  -23.60412
 -24.50131,  -74.21690,  -23.67071
 -24.50131,  -74.26664,  -23.73606
 -24.50131,  -74.31676,  -23.80049
 -24.77162,  -74.36832,  -23.87045
 -25.41250,  -74.42081,  -23.95273
 -25.41250,  -74.47366,  -24.03372
 -25.41250,  -74.52740,  -24.11396
 -25.41250,  -74.58337,  -24.19477
 -26.26324,  -74.64017,  -24.29180
 -26.26324,  -74.69824,  -24.38815
 -26.26324,  -74.75795,  -24.48416
 -26.26324,  -74.81898,  -24.57956
 -26.92738,  -74.88242,  -24.68868
 -26.92738,  -74.94736,  -24.79710
 -26.92738,  -75.01348,  -24.90450
 -26.92738,  -75.08060,  -25.01074
 -27.23480,  -75.14894,  -25.12219
 -27.23480,  -75.22082,  -25.23488
 -27.23480,  -75.29646,  -25.34901
 -27.23480,  -75.37028,  -25.45907
 -27.27717,  -75.44528,  -25.56894
 -27.27717,  -75.52147,  -25.67777
 -27.27717,  -75.59991,  -25.78662
 -27.27717,  -75.67892,  -25.89387
 -27.02950,  -75.75949,  -25.99554
 -27.02950,  -75.84103,  -26.09613
 -27.02950,  -75.92367,  -26.19578
 -27.02950,  -76.00776,  -26.29486
 -26.67698,  -76.09270,  -26.38575
 -26.67698,  -76.17831,  -26.47548
 -26.67698,  -76.26427,  -26.56374
 -26.67698,  -76.35040,  -26.65042
 -26.27960,  -76.43672,  -26.72760
 -26.27960,  -76.52357,  -26.80375
 -26.27960,  -76.61064,  -26.87860
 -26.27960,  -76.69801,  -26.95224
 -25.95722,  -76.78509,  -27.01767
