motor_front,motor_back,pitch_filter,pitch_raw
398, 602, 8.229268, 8.841123
399, 601, 8.297526, 8.730676
398, 602, 8.365553, 8.922038
398, 602, 8.429403, 8.905069
401, 599, 8.483704, 8.838445
401, 599, 8.535213, 8.862864
402, 598, 8.580030, 8.858419
403, 597, 8.620791, 8.933805
405, 595, 8.654061, 8.857963
405, 595, 8.686168, 8.941743
406, 594, 8.712551, 8.952485
408, 592, 8.735394, 9.041533
409, 591, 8.755437, 9.078458
412, 588, 8.769303, 9.177595
413, 587, 8.780398, 9.355273
414, 586, 8.785653, 9.296862
415, 585, 8.779505, 8.903181
417, 583, 8.778116, 9.333423
418, 582, 8.770638, 9.274178
420, 580, 8.760731, 9.367318
422, 578, 8.744958, 9.337732
423, 577, 8.724859, 9.265170
426, 574, 8.691879, 8.956408
427, 573, 8.658686, 9.000667
428, 572, 8.619573, 8.840569
430, 570, 8.575724, 8.715164
431, 569, 8.526475, 8.553534
433, 567, 8.474656, 8.490561
433, 567, 8.420197, 8.324560
435, 565, 8.355509, 8.108645
437, 563, 8.296080, 8.384330
436, 564, 8.225143, 8.122372
438, 562, 8.152294, 7.990545
439, 561, 8.088036, 8.061124
440, 560, 8.027713, 8.393941
440, 560, 7.956164, 7.907492
443, 557, 7.892663, 8.206264
442, 558, 7.825056, 7.856818
444, 556, 7.757996, 8.090146
444, 556, 7.684177, 7.651490
444, 556, 7.623117, 7.660886
446, 554, 7.556273, 7.420092
447, 553, 7.494788, 7.516779
447, 553, 7.428365, 7.249270
447, 553, 7.356920, 6.830817
448, 552, 7.296224, 7.265726
448, 552, 7.234704, 7.169122
448, 552, 7.169975, 6.833987
447, 553, 7.114374, 7.059382
447, 553, 7.049773, 6.418362
447, 553, 6.992738, 6.652472
447, 553, 6.938734, 6.675674
446, 554, 6.889469, 6.562284
445, 555, 6.846964, 6.761851
444, 556, 6.800377, 6.311636
445, 555, 6.759880, 6.585970
444, 556, 6.721430, 6.523974
443, 557, 6.686039, 6.290914
443, 557, 6.653785, 6.448625
440, 560, 6.629210, 6.390585
440, 560, 6.609217, 6.595112
439, 561, 6.588886, 6.219797
440, 560, 6.571563, 6.483218
438, 562, 6.553255, 6.176624
437, 563, 6.544628, 6.526953
437, 563, 6.530276, 6.142795
436, 564, 6.515550, 5.940837
435, 565, 6.515053, 6.477437
435, 565, 6.511818, 6.357836
434, 566, 6.513464, 6.411885
433, 567, 6.511284, 6.088657
432, 568, 6.513090, 6.099304
432, 568, 6.517451, 6.237463
430, 570, 6.528774, 6.234291
431, 569, 6.544775, 6.619473
429, 571, 6.558181, 6.304349
429, 571, 6.583709, 6.826189
426, 574, 6.605933, 6.526663
427, 573, 6.629054, 6.629610
425, 575, 6.659936, 6.829900
425, 575, 6.682255, 6.421313
422, 578, 6.716431, 6.786981
423, 577, 6.742620, 6.519677
423, 577, 6.772593, 6.700327
421, 579, 6.807692, 6.861914
421, 579, 6.846393, 6.997070
421, 579, 6.883661, 6.933392
419, 581, 6.918709, 6.828244
420, 580, 6.958555, 7.157029
418, 582, 6.998719, 6.983017
418, 582, 7.036964, 7.062648
418, 582, 7.071362, 6.898693
416, 584, 7.110069, 7.105080
415, 585, 7.152646, 7.166063
416, 584, 7.193784, 7.274452
417, 583, 7.224012, 6.956091
415, 585, 7.263985, 7.314450
416, 584, 7.303423, 7.549049
416, 584, 7.333583, 7.089842
416, 584, 7.377562, 7.783657
415, 585, 7.410244, 7.387805
417, 583, 7.449668, 7.961869
417, 583, 7.481222, 7.644091
415, 585, 7.514370, 7.604540
416, 584, 7.552083, 8.026551
417, 583, 7.583433, 7.886735
416, 584, 7.608536, 7.624706
417, 583, 7.639764, 8.097609
417, 583, 7.664604, 7.845540
418, 582, 7.689995, 8.023532
418, 582, 7.711284, 7.935135
418, 582, 7.733838, 8.021741
418, 582, 7.752183, 7.908186
419, 581, 7.766416, 7.801165
420, 580, 7.777672, 7.826924
419, 581, 7.793778, 7.885643
420, 580, 7.806427, 8.093079
421, 579, 7.812056, 7.896833
422, 578, 7.819151, 8.055545
421, 579, 7.829068, 8.124033
422, 578, 7.833804, 8.097050
422, 578, 7.836319, 8.044044
423, 577, 7.832337, 7.828334
424, 576, 7.835754, 8.327519
424, 576, 7.827373, 7.803296
425, 575, 7.816662, 7.847007
425, 575, 7.807032, 7.801878
426, 574, 7.803526, 8.249244
427, 573, 7.792289, 7.949948
