motor_front,motor_back,pitch_filter,pitch_raw
432, 568, 8.332687, 8.141208
433, 567, 8.275110, 8.081350
433, 567, 8.214985, 8.032906
435, 565, 8.145844, 8.034325
436, 564, 8.084067, 8.189802
435, 565, 8.034633, 8.265765
438, 562, 7.982990, 8.310159
436, 564, 7.937400, 8.217684
438, 562, 7.887595, 8.134369
439, 561, 7.835156, 8.000791
440, 560, 7.777842, 7.836602
440, 560, 7.721941, 7.809805
440, 560, 7.669544, 7.787545
441, 559, 7.615958, 7.752563
442, 558, 7.562533, 7.717313
440, 560, 7.514829, 7.705197
441, 559, 7.465398, 7.492172
441, 559, 7.412999, 7.300115
440, 560, 7.363161, 7.101485
438, 562, 7.314675, 6.790519
440, 560, 7.264666, 6.748938
438, 562, 7.221939, 6.739965
438, 562, 7.182815, 6.903408
438, 562, 7.147704, 6.949599
436, 564, 7.118474, 6.906710
436, 564, 7.088504, 6.743161
435, 565, 7.063025, 6.721814
435, 565, 7.041477, 6.893123
434, 566, 7.025861, 7.023328
434, 566, 7.013143, 7.111848
435, 565, 6.999666, 7.102462
433, 567, 6.993384, 7.025594
432, 568, 6.987114, 6.958177
432, 568, 6.979326, 6.856999
431, 569, 6.974341, 6.833230
431, 569, 6.972683, 6.922413
430, 570, 6.977054, 6.995033
430, 570, 6.982253, 7.030782
429, 571, 6.991521, 7.012736
426, 574, 7.007541, 6.961286
427, 573, 7.013961, 6.677536
425, 575, 7.022796, 6.557233
425, 575, 7.032351, 6.511408
424, 576, 7.044703, 6.590722
424, 576, 7.059403, 6.688197
422, 578, 7.083805, 6.852076
421, 579, 7.115155, 7.165452
422, 578, 7.144046, 7.228736
420, 580, 7.179276, 7.353051
419, 581, 7.217055, 7.394443
419, 581, 7.251637, 7.340917
419, 581, 7.283076, 7.253995
418, 582, 7.314730, 7.278912
419, 581, 7.342343, 7.336298
418, 582, 7.375494, 7.392583
418, 582, 7.405148, 7.478234
419, 581, 7.435341, 7.617353
418, 582, 7.470922, 7.701873
419, 581, 7.499988, 7.729629
418, 582, 7.531995, 7.775506
417, 583, 7.564947, 7.758301
417, 583, 7.595858, 7.710198
418, 582, 7.618207, 7.632757
417, 583, 7.643618, 7.590921
418, 582, 7.662799, 7.531833
416, 584, 7.687433, 7.531833
415, 585, 7.711776, 7.533932
416, 584, 7.734522, 7.562145
417, 583, 7.753200, 7.617810
417, 583, 7.776228, 7.790807
416, 584, 7.800123, 7.941231
416, 584, 7.825268, 8.038512
417, 583, 7.853113, 8.249063
419, 581, 7.875664, 8.352554
418, 582, 7.901426, 8.577032
420, 580, 7.921405, 8.643126
420, 580, 7.942742, 8.669247
421, 579, 7.956704, 8.527616
421, 579, 7.967750, 8.364920
421, 579, 7.973940, 8.236176
421, 579, 7.973563, 7.986126
421, 579, 7.971413, 7.918524
421, 579, 7.966942, 7.820121
422, 578, 7.957749, 7.762072
422, 578, 7.948360, 7.753345
421, 579, 7.942562, 7.781907
422, 578, 7.934470, 7.826811
422, 578, 7.929338, 7.924173
424, 576, 7.920710, 8.023284
423, 577, 7.915154, 8.087035
424, 576, 7.912598, 8.316331
423, 577, 7.913469, 8.395820
424, 576, 7.911288, 8.412710
424, 576, 7.906269, 8.325633
423, 577, 7.901674, 8.171391
429, 571, 7.879415, 7.988434
425, 575, 7.868313, 7.814861
427, 573, 7.851863, 7.880036
427, 573, 7.835277, 7.878157
426, 574, 7.821724, 7.836982
427, 573, 7.808056, 8.066702
429, 571, 7.793609, 8.097745
429, 571, 7.781597, 8.179449
430, 570, 7.764010, 8.106111
432, 568, 7.743156, 8.191741
432, 568, 7.720510, 8.130115
434, 566, 7.692930, 8.093363
438, 562, 7.655442, 8.218609
435, 565, 7.629175, 8.125767
441, 559, 7.586901, 8.239915
446, 554, 7.526829, 8.212618
453, 547, 7.455537, 8.589068
454, 546, 7.385443, 8.607164
459, 541, 7.298000, 8.411570
464, 536, 7.198265, 8.223849
470, 530, 7.078181, 8.029220
472, 528, 6.945854, 7.488250
475, 525, 6.804941, 7.277604
481, 519, 6.640303, 6.999312
484, 516, 6.482086, 6.979926
486, 514, 6.323363, 6.942084
489, 511, 6.162477, 6.828656
492, 508, 5.998460, 6.655281
494, 506, 5.828163, 6.426500
496, 504, 5.654759, 6.069072
499, 501, 5.480151, 5.961961
502, 498, 5.295524, 5.538270
503, 497, 5.110876, 5.377962
506, 494, 4.926062, 5.258951
